Gene_symbol	Description
APPBP1	amyloid beta precursor protein-binding protein 1, 59kD
APPBP2	amyloid beta precursor protein (cytoplasmic tail)-binding protein 2
APPL1	amyloid beta (A4) precursor protein-like 1
APRT	adenine phosphoribosyltransferase
APXL	apical protein, Xenopus laevis-like
APXLP	apical protein, Xenopus laevis-like, pseudogene
AQP1	aquaporin 1 (channel-forming integral protein, 28kD)
AQP2	aquaporin 2 (collecting duct)
AQP3	aquaporin 3
AQP4	aquaporin 4
AQP5	aquaporin 5
AQP6	aquaporin 6, kidney specific
AQP7	aquaporin 7
AQP8	aquaporin 8
AQP9	aquaporin 9
AR	androgen receptor (dihydrotestosterone receptor; testicular feminization; spinal and bulbar muscular atrophy; Kennedy disease)
ARAF1	v-raf murine sarcoma 3611 viral oncogene homolog 1
ARAF2P	v-raf murine sarcoma 3611 viral oncogene homolog 2, pseudogene
ARC	activity-regulated cytoskeleton-associated protein
ARCN1	archain 1
ARCN2	archain 2
AREG	amphiregulin (schwannoma-derived growth factor)
ARF1	ADP-ribosylation factor 1
ARF2	ADP-ribosylation factor 2
ARF3	ADP-ribosylation factor 3
ARF4	ADP-ribosylation factor 4
ARF4L	ADP-ribosylation factor 4-like
ARF4P	ADP-ribosylation factor 4 pseudogene
ARF5	ADP-ribosylation factor 5
ARF6	ADP-ribosylation factor 6
ARFD1	ADP-ribosylation factor domain protein 1, 64kD
ARFGAP1	ADP-ribosylation factor GTPase activating protein 1
ARFRP1	ADP-ribosylation factor related protein 1
ARG1	arginase, liver
ARG2	arginase, type II
ARHA	ras homolog gene family, member A
ARHB	ras homolog gene family, member B
ARHC	ras homolog gene family, member C
ARHD	ras homolog gene family, member D
ARHE	ras homolog gene family, member E
ARHG	ras homolog gene family, member G (rho G)
ARHGAP1	Rho GTPase activating protein 1
ARHGAP4	Rho GTPase activating protein 4
ARHGAP5	Rho GTPase activating protein 5
ARHGAP6	Rho GTPase activating protein 6
ARHGAP8	Rho GTPase activating protein 8
ARHGDIA	Rho GDP dissociation inhibitor (GDI) alpha
ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta
ARHGDIG	Rho GDP dissociation inhibitor (GDI) gamma
ARHGEF1	Rho guanine nucleotide exchange factor (GEF) 1
ARHGEF2	rho/rac guanine nucleotide exchange factor (GEF) 2
ARHGEF3	Rho guanine nucleotide exchange factor (GEF) 3
ARHGEF4	Rho guanine nucleotide exchange factor (GEF) 4
ARHGEF6	Rac/Cdc42 guanine exchange factor (GEF) 6
ARHH	ras homolog gene family, member H
ARHI	ras homolog gene family, member I
ARHJ	ras homolog gene family, member J
ARIH1	ariadne (Drosophila) homolog, ubiquitin-conjugating enzyme E2-binding protein, 1
ARIH2	ariadne (Drosophila) homolog 2
ARIX	aristaless (Drosophila) homeobox
ARL1	ADP-ribosylation factor-like 1
ARL2	ADP-ribosylation factor-like 2
ARL3	ADP-ribosylation factor-like 3
ARL4	ADP-ribosylation factor-like 4
ARL5	ADP-ribosylation factor-like 5
ARL6IP	ADP-ribosylation factor-like 6 interacting protein
ARL7	ADP-ribosylation factor-like 7
ARMD1	age-related macular degeneration 1 (senile macular degeneration)
ARNT	aryl hydrocarbon receptor nuclear translocator
ARNTL	aryl hydrocarbon receptor nuclear translocator-like
ARPC1A	actin related protein 2/3 complex, subunit 1A (41 kD)
ARPC1B	actin related protein 2/3 complex, subunit 1B (41 kD)
ARPC2	actin related protein 2/3 complex, subunit 2 (34 kD)
ARPC3	actin related protein 2/3 complex, subunit 3 (21 kD)
ARPC4	actin related protein 2/3 complex, subunit 4 (20 kD)
ARPC5	actin related protein 2/3 complex, subunit 5 (16 kD)
ARR3	arrestin 3, retinal (X-arrestin)
ARRB1	arrestin, beta 1
ARRB2	arrestin, beta 2
ARSA	arylsulfatase A
ARSB	arylsulfatase B
ARSC2	arylsulfatase C, isozyme F
ARSD	arylsulfatase D
ARSDP	arylsulfatase D pseudogene
ARSE	arylsulfatase E (chondrodysplasia punctata 1)
ARSEP	arylsulfatase E pseudogene
ARSF	arylsulfatase F
ARSFP	arylsulfatase F pseudogene
ART1	ADP-ribosyltransferase 1
ART2P	ADP-ribosyltransferase 2 pseudogene (RT6 antigen (rat) homolog)
ART3	ADP-ribosyltransferase 3
ART4	ADP-ribosyltransferase 4
ARTN	artemin
ARVCF	armadillo repeat gene deletes in velocardiofacial syndrome
ARVD1	arrhythmogenic right ventricular dysplasia 1
ARVD2	arrhythmogenic right ventricular dysplasia 2
ARVD3	arrhythmogenic right ventricular dysplasia 3
ARVD4	arrhythmogenic right ventricular dysplasia 4
ARVD5	arrhythmogenic right ventricular dysplasia 5
AS	ankylosing spondylitis
ASAH	N-acylsphingosine amidohydrolase (acid ceramidase)
ASAHL	N-acylsphingosine amidohydrolase (acid ceramidase)-like
ASCL1	achaete-scute complex (Drosophila) homolog-like 1
ASCL2	achaete-scute complex (Drosophila) homolog-like 2
ASCL3	reserved
ASD1	atrial septal defect 1
ASGR1	asialoglycoprotein receptor 1
ASGR2	asialoglycoprotein receptor 2
ASH2L	ash2 (absent, small, or homeotic, Drosophila, homolog)-like
ASIP	agouti (mouse)-signaling protein
ASL	argininosuccinate lyase
ASLL	argininosuccinate lyase-like
ASMD	anterior segment mesenchymal dysgenesis
ASMT	acetylserotonin O-methyltransferase
ASMTL	acetylserotonin O-methyltransferase-like
ASNA1	arsA (bacterial) arsenite transporter, ATP-binding, homolog 1
ASNS	asparagine synthetase
ASNSL1	asparagine synthetase-like 1
ASNSL2	asparagine synthetase-like 2
ASPA	aspartoacylase (aminoacylase 2, Canavan disease)
ASPH	aspartate beta-hydroxylase
ASS	argininosuccinate synthetase
ASSP1	argininosuccinate synthetase pseudogene 1
ASSP10	argininosuccinate synthetase pseudogene 10
ASSP11	argininosuccinate synthetase pseudogene 11
ASSP12	argininosuccinate synthetase pseudogene 12
ASSP13	argininosuccinate synthetase pseudogene 13
ASSP14	argininosuccinate synthetase pseudogene 14
ASSP2	argininosuccinate synthetase pseudogene 2
ASSP3	argininosuccinate synthetase pseudogene 3
ASSP4	argininosuccinate synthetase pseudogene 4
ASSP5	argininosuccinate synthetase pseudogene 5
ASSP6	argininosuccinate synthetase pseudogene 6
ASSP7	argininosuccinate synthetase pseudogene 7
ASSP8	argininosuccinate synthetase pseudogene 8
ASSP9	argininosuccinate synthetase pseudogene 9
ASTN	astrotactin
ASVS1	adenovirus/SV40 integration site 1
AT3	antithrombin III
ATBF1	AT-binding transcription factor 1
ATCAY	ataxia, cerebellar, Cayman type
ATD	asphixiating thoracic dystrophy (chondroectodermal dysplasia-like syndrome)
ATE1	arginyltransferase 1
ATF1	activating transcription factor 1
ATF2	activating transcription factor 2
ATF3	activating transcription factor 3
ATF4	activating transcription factor 4 (tax-responsive enhancer element B67)
ATF4B	activating transcription factor 4B
ATF4C	activating transcription factor 4C
ATF4P	activating transcription factor 4 pseudogene (tax-responsive enhancer element B67 pseudogene)
ATF5	activating transcription factor 5
ATF6	activating transcription factor 6
ATF7	activating transcription factor 7
ATHS	atherosclerosis susceptibility (lipoprotein associated)
ATIC	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
ATM	ataxia telangiectasia mutated (includes complementation groups A, C and D)
ATOH1	atonal homolog 1 (Drosophila)
ATOX1	ATX1 (antioxidant protein 1, yeast) homolog 1
ATP10A	ATPase, Class V, type 10A
ATP10B	ATPase, Class V, type 10B
ATP10C	ATPase, Class V, type 10C
ATP10D	ATPase, Class V, type 10D
ATP11A	ATPase, Class VI, type 11A
ATP11B	ATPase, Class VI, type 11B
ATP11C	ATPase, Class VI, type 11C
ATP12A	ATPase, H+/K+ transporting, nongastric, alpha polypeptide
ATP1A1	ATPase, Na+/K+ transporting, alpha 1 polypeptide
ATP1A2	ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide
ATP1A3	ATPase, Na+/K+ transporting, alpha 3 polypeptide
ATP1A4	ATPase, Na+/K+ transporting, alpha 4 polypeptide
ATP1AL1	ATPase, Na+/K+ transporting, alpha polypeptide-like 1
ATP1AL2	ATPase, Na+/K+ transporting, alpha polypeptide-like 2
ATP1B1	ATPase, Na+/K+ transporting, beta 1 polypeptide
ATP1B2	ATPase, Na+/K+ transporting, beta 2 polypeptide
ATP1B3	ATPase, Na+/K+ transporting, beta 3 polypeptide
ATP1B3P1	ATPase, Na+/K+ transporting, beta 3 pseudogene
ATP1B4	ATPase, (Na+)/K+ transporting, beta 4 polypeptide
ATP1BL1	ATPase, Na+/K+ transporting, beta polypeptide-like 1
ATP2A1	ATPase, Ca++ transporting, cardiac muscle, fast twitch 1
ATP2A2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2
ATP2A3	ATPase, Ca++ transporting, ubiquitous
ATP2B1	ATPase, Ca++ transporting, plasma membrane 1
ATP2B2	ATPase, Ca++ transporting, plasma membrane 2 (NOTE: redefinition of symbol)
ATP2B3	ATPase, Ca++ transporting, plasma membrane 3
ATP2B4	ATPase, Ca++ transporting, plasma membrane 4
ATP2C1	ATPase, Ca++ transporting, type 2C, member 1
ATP3	ATPase, Mg++ transporting
ATP4A	ATPase, H+/K+ exchanging, alpha polypeptide
ATP4B	ATPase, H+/K+ exchanging, beta polypeptide
ATP5A1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle
ATP5A2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 2, non-cardiac muscle
ATP5AL1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle-like 1
ATP5AL2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 2, non-cardiac muscle-like 2
ATP5AP1	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, pseudogene 1
ATP5AP2	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, pseudogene 2
ATP5AP3	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, pseudogene 3
ATP5B	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide
ATP5BL1	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide-like 1
ATP5BL2	ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide-like 2
ATP5C1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
ATP5C2	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 2
ATP5D	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit
ATP5E	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit
ATP5EP1	ATP synthase, H+ transporting, mitochondrial F1 complex, epsilon subunit pseudogene 1
ATP5F1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit b, isoform 1
ATP5G1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 1
ATP5G2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9), isoform 2
ATP5G3	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) isoform 3
ATP5GP1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c (subunit 9) pseudogene 1
ATP5H	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d
ATP5I	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit e
ATP5J	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit F6
ATP5J2	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2
ATP5J2LP	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit f, isoform 2-like pseudogene
ATP5O	ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)
ATP6A1	ATPase, H+ transporting, lysosomal (vacuolar proton pump), alpha polypeptide, 70kD, isoform 1
ATP6A2	ATPase, H+ transporting, lysosomal (vacuolar proton pump), alpha polypeptide, 70kD, isoform 2
ATP6B1	ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 1
ATP6B2	ATPase, H+ transporting, lysosomal (vacuolar proton pump), beta polypeptide, 56/58kD, isoform 2
ATP6C	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 42kD
ATP6D	ATPase, H+ transporting, lysosomal (vacuolar proton pump), member D
ATP6E	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD
ATP6EL1	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD-like 1
ATP6EP1	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD pseudogene 1
ATP6EP2	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 31kD pseudogene 2
ATP6F	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 21kD
ATP6G	ATPase, H+ transporting, lysosomal (vacuolar proton pump)
ATP6H	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 9kD
ATP6J	ATPase, H+ transporting, lysosomal (vacuolar proton pump), member J
ATP6L	ATPase, H+ transporting, lysosomal (vacuolar proton pump) 16kD
ATP6N1A	ATPase, H+ transporting, lysosomal (vacuolar proton pump) non-catalytic accessory protein 1A  (110/116kD)
ATP6N1B	reserved
ATP6N2	ATPase, H+ transporting, lysosomal (vacuolar proton pump) non-catalytic accessory protein 2 (38kD)
ATP6S1	ATPase, H+ transporting, lysosomal (vacuolar proton pump), subunit 1
ATP7A	ATPase, Cu++ transporting, alpha polypeptide (Menkes syndrome)
ATP7B	ATPase, Cu++ transporting, beta polypeptide (Wilson disease)
ATP8A1	ATPase, aminophospholipid transporter (APLT), Class I, type 8A, member 1
ATP8A2	ATPase, aminophospholipid transporter-like, Class I, type 8A, member 2
ATP8B1	ATPase ,Class I, type 8B, member 1
ATP8B2	ATPase, Class I, type 8B, member 2
ATP8B3	ATPase, Class I, type 8B, member 3
ATP8B4	ATPase, Class I, type 8B, member 4
ATP8B5	ATPase, Class I, type 8B, member 5
ATP9A	ATPase, Class II, type 9A
ATP9B	ATPase, Class II, type 9B
ATPIF1	ATPase inhibitory factor 1
ATQ1	antiquitin 1
ATQL1	antiquitin-like 1
ATQL2	antiquitin-like 2
ATQL3	antiquitin-like 3
ATQL4	antiquitin-like 4
ATR	ataxia telangiectasia and Rad3 related
ATRN	attractin (with dipeptidylpeptidase IV activity)
ATRX	alpha thalassemia/mental retardation syndrome X-linked (RAD54 (S. cerevisiae) homolog)
ATSV	axonal transport of synaptic vesicles
AUH	AU RNA-binding protein/enoyl-Coenzyme A hydratase
AUP1	ancient ubiquitous protein 1
AUTS1	autism susceptibility 1
AVP	arginine vasopressin (neurophysin II, antidiuretic hormone, diabetes insipidus, neurohypophyseal) (NOTE: redefinition of symbol)
AVPR1A	arginine vasopressin receptor 1A
AVPR1B	arginine vasopressin receptor 1B
AVPR2	arginine vasopressin receptor 2 (nephrogenic diabetes insipidus)
AVR	antiviral state regulator
AVRR	antiviral state repressor regulator
AXA1	ataxia 1, early onset with hypoalbuminemia
AXIN1	axin
AXIN2	axin 2 (conductin, axil)
AXL	AXL receptor tyrosine kinase
AXPC1	ataxia, posterior column 1, with retinitis pigmentosa
AZF1	azoospermia factor 1
AZF2	azoospermia factor 2
AZGP1	alpha-2-glycoprotein 1, zinc
AZGP1P1	alpha-2-glycoprotein 1, zinc pseudogene 1
AZGP1P2	alpha-2-glycoprotein 1, zinc pseudogene 2
AZU1	azurocidin 1 (cationic antimicrobial protein 37)
B2M	beta-2-microglobulin
B2MR	beta-2-microglobulin regulator
B3GALT1	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 1
B3GALT2	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 2
B3GALT3	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 3
B3GALT4	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 4
B3GALT5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5
B3GAT1	beta-1,3-glucuronyltransferase 1 (glucuronosyltransferase P)
B3GAT2	beta-1,3-glucuronyltransferase 2 (glucuronosyltransferase S)
B3GAT3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)
B4GALT1	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1
B4GALT2	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 2
B4GALT3	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 3
B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4
B4GALT5	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5
B4GALT6	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6
B4GALT7	xylosylprotein beta1,4-galactosyltransferase, polypeptide 7 (galactosyltransferase I)
BAAT	bile acid Coenzyme A: amino acid N-acyltransferase (glycine N-choloyltransferase)
BACE	beta-site APP-cleaving enzyme
BACE2	beta-site APP-cleaving enzyme 2
BACH1	BTB and CNC homology 1, basic leucine zipper transcription factor 1
BAD	BCL2-antagonist of cell death
BAG1	BCL2-associated athanogene
BAG2	BCL2-associated athanogene 2
BAG3	BCL2-associated athanogene 3
BAG4	BCL2-associated athanogene 4
BAG5	BCL2-associated athanogene 5
BAGE	B melanoma antigen
BAI1	brain-specific angiogenesis inhibitor 1
BAI2	brain-specific angiogenesis inhibitor 2
BAI3	brain-specific angiogenesis inhibitor 3
BAIAP1	BAI1-associated protein 1
BAIAP2	BAI1-associated protein 2
BAIAP3	BAI1-associated protein 3
BAK1	BCL2-antagonist/killer 1
BAP1	BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
BAPX1	bagpipe homeobox (Drosophila) homolog 1
BARD1	BRCA1 associated RING domain 1
BARHL1	BarH (Drosophila)-like 1
BARHL2	BarH (Drosophila)-like 2
BARX1	BarH-like homeobox 1
BARX2	BarH-like homeobox 2
BASP1	brain acid-soluble protein 1
BATF	basic leucine zipper transcription factor, ATF-like
BAX	BCL2-associated X protein
BAZ1A	bromodomain adjacent to zinc finger domain, 1A
BAZ1B	bromodomain adjacent to zinc finger domain, 1B
BAZ2A	bromodomain adjacent to zinc finger domain, 2A
BAZ2B	bromodomain adjacent to zinc finger domain, 2B
BBOX1	butyrobetaine (gamma), 2-oxoglutarate dioxygenase (gamma-butyrobetaine hydroxylase) 1
BBS1	Bardet-Biedl syndrome 1
BBS2	Bardet-Biedl syndrome 2
BBS3	Bardet-Biedl syndrome 3
BBS4	Bardet-Biedl syndrome 4
BBS5	Bardet-Biedl syndrome 5
BCAR1	breast cancer anti-estrogen resistance 1
BCAR2	breast cancer anti-estrogen resistance 2
BCAR3	breast cancer anti-estrogen resistance 3
BCAS1	breast carcinoma amplified sequence 1
BCAS2	breast carcinoma amplified sequence 2
BCAT1	branched chain aminotransferase 1, cytosolic
BCAT2	branched chain aminotransferase 2, mitochondrial
BCCIP	reserved
BCDO	beta-carotene 15, 15'-dioxygenase
BCGF1	B-cell growth factor 1 (12kD)
BCH	benign chorea
BCHE	butyrylcholinesterase
BCHEL1	butyrylcholinesterase-like 1
BCHEL3	butyrylcholinesterase-like 3
BCKDHA	branched chain keto acid dehydrogenase E1, alpha polypeptide (maple syrup urine disease)
BCKDHB	branched chain keto acid dehydrogenase E1, beta polypeptide (maple syrup urine disease)
BCL1	B-cell CLL/lymphoma 1
BCL10	B-cell CLL/lymphoma 10
BCL2	B-cell CLL/lymphoma 2
BCL2A1	BCL2-related protein A1
BCL2L1	BCL2-like 1
BCL2L10	BCL2-like 10 (apoptosis facilitator)
BCL2L11	BCL2-like 11 (apoptosis facilitator)
BCL2L2	BCL2-like 2
BCL2L7P1	BCL2-like 7 pseudogene 1
BCL2L7P2	BCL2-like 7 pseudogene 2
BCL3	B-cell CLL/lymphoma 3
BCL5	B-cell CLL/lymphoma 5
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)
BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)
BCL7A	B-cell CLL/lymphoma 7A
BCL7B	B-cell CLL/lymphoma 7B
BCL7C	B-cell CLL/lymphoma 7C
BCL8	B-cell CLL/lymphoma 8
BCL9	B-cell CLL/lymphoma 9
BCP	blue cone pigment
BCPM	benign chronic pemphigus (Hailey-Hailey disease)
BCR	breakpoint cluster region
BCRL2	breakpoint cluster region-like 2
BCRL3	breakpoint cluster region-like 3
BCRL4	breakpoint cluster region-like 4
BCRL5	breakpoint cluster region-like 5
BCRL6	breakpoint cluster region-like 6
BCS1L	BCS1 (yeast homolog)-like
BCYRN1	brain cytoplasmic RNA 1 (analog of mouse Bc1)
BCYRN1P1	brain cytoplasmic RNA 1, pseudogene 1
BCYRN1P2	brain cytoplasmic RNA 1, pseudogene 2
BDB1	brachydactyly type B1
BDH	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)
BDK	bradykinin
BDKRB1	bradykinin receptor B1
BDKRB2	bradykinin receptor B2
BDM	behavior disorder modifier
BDMR	brachydactyly-mental retardation syndrome
BDNF	brain-derived neurotrophic factor
BECN1	beclin 1 (coiled-coil, myosin-like BCL2-interacting protein)
BEVI	baboon M7 virus integration site
BEX1	brain expressed, X-linked 1
BF	B-factor, properdin
BFLS	Borjeson-Forssman-Lehmann syndrome
BFSP1	beaded filament structural protein 1, filensin
BFSP2	beaded filament structural protein 2, phakinin
BGLAP	bone gamma-carboxyglutamate (gla) protein (osteocalcin)
BGN	biglycan
BHLHB2	basic helix-loop-helix domain containing, class B, 2
BHMT	betaine-homocysteine methyltransferase
